證券代碼,年,月,日,收盤價(元),成交量(千股)
1101 台泥,2007,4,2,10.0222,"1,770"
1102 亞泥,2007,4,2,11.1384,"2,019"
1103 嘉泥,2007,4,2,11.3173,"3,156"
1104 環泥,2007,4,2,5.4825,406
1107 建台,2007,4,2,1.62,185
1108 幸福,2007,4,2,6.1349,580
1109 信大,2007,4,2,7.055,206
1110 東泥,2007,4,2,9.032,"3,592"
1201 味全,2007,4,2,20.6624,"16,979"
1203 味王,2007,4,2,8.114,842
1210 大成,2007,4,2,7.0896,"13,549"
1213 大飲,2007,4,2,11.8157,97
1215 卜蜂,2007,4,2,4.9726,"12,192"
1216 統一,2007,4,2,11.5231,"9,406"
1217 愛之味,2007,4,2,7.3691,"1,574"
1218 泰山,2007,4,2,5.473,"1,007"
1219 福壽,2007,4,2,5.2591,"1,114"
1220 台榮,2007,4,2,5.5284,261
1225 福懋油,2007,4,2,5.2172,338
1227 佳格,2007,4,2,3.343,511
1229 聯華,2007,4,2,4.2113,"1,706"
1231 聯華食,2007,4,2,3.5288,275
1232 大統益,2007,4,2,10.7915,746
1233 天仁,2007,4,2,15.5365,102
1234 黑松,2007,4,2,10.6751,"2,542"
1235 興泰,2007,4,2,5.9721,6
1236 宏亞,2007,4,2,7.2794,31
1301 台塑,2007,4,2,28.2336,"8,828"
1303 南亞,2007,4,2,29.7525,"14,119"
1304 台聚,2007,4,2,3.8885,"16,005"
1305 華夏,2007,4,2,3.9241,"3,716"
1307 三芳,2007,4,2,9.0798,"1,357"
1308 亞聚,2007,4,2,3.7541,"1,464"
1309 台達化,2007,4,2,5.154,"1,577"
1310 台苯,2007,4,2,8.2163,"2,675"
1311 Ｄ福聚,2007,4,2,24.7551,"1,038"
1312 國喬,2007,4,2,7.7974,"4,439"
1313 聯成,2007,4,2,6.9912,"6,675"
1314 中石化,2007,4,2,5.8599,"112,755"
1315 達新,2007,4,2,18.964,698
1316 上曜,2007,4,2,9.7968,510
1319 東陽,2007,4,2,17.7678,"8,606"
1321 大洋,2007,4,2,17.3701,449
1323 永裕,2007,4,2,4.4877,246
1324 地球,2007,4,2,21.5276,"2,136"
1325 恒大,2007,4,2,6.0508,391
1326 台化,2007,4,2,28.9302,"15,439"
1333 恩得利,2007,4,2,53.4316,717
1402 遠東新,2007,4,2,12.2691,"5,418"
1408 中紡,2007,4,2,0.7,837
1409 新纖,2007,4,2,5.3017,"52,365"
1410 南染,2007,4,2,6.8635,187
1413 宏洲,2007,4,2,10.2241,"2,068"
1414 東和,2007,4,2,5.2763,"1,091"
1416 廣豐,2007,4,2,11.9333,"29,881"
1417 嘉裕,2007,4,2,11.11,"19,924"
1418 東華,2007,4,2,33.2196,"1,961"
1419 新紡,2007,4,2,20.332,926
1423 利華,2007,4,2,7.1668,701
1432 大魯閣,2007,4,2,7.0918,12
1434 福懋,2007,4,2,13.3858,"10,672"
1435 中福,2007,4,2,6.76,187
1436 華友聯,2007,4,2,11.1552,292
1437 勤益控,2007,4,2,20.1413,"3,248"
1438 三地開發,2007,4,2,4.415,36
1439 中和,2007,4,2,7.0641,68
1440 南紡,2007,4,2,9.1936,"3,753"
1441 大東,2007,4,2,12.9631,"1,104"
1442 名軒,2007,4,2,9.4901,249
1443 立益,2007,4,2,9.3148,670
1444 力麗,2007,4,2,3.5129,"2,632"
1445 大宇,2007,4,2,2.9239,"1,184"
1446 宏和,2007,4,2,6.2742,168
1447 力鵬,2007,4,2,6.5604,"1,834"
1449 佳和,2007,4,2,47.5354,"1,115"
1451 年興,2007,4,2,18.2097,"1,972"
1452 宏益,2007,4,2,3.873,"1,080"
1453 大將,2007,4,2,6.4139,36
1454 台富,2007,4,2,3.3462,204
1455 集盛,2007,4,2,5.7898,"4,028"
1456 怡華,2007,4,2,27.532,407
1457 宜進,2007,4,2,3.5887,"1,320"
1459 聯發,2007,4,2,5.667,439
1460 宏遠,2007,4,2,6.5936,676
1462 東雲,2007,4,2,0.35,78
1463 強盛,2007,4,2,4.2298,248
1464 得力,2007,4,2,3.365,441
1465 偉全,2007,4,2,3.8229,123
1466 聚隆,2007,4,2,6.2727,"1,869"
1467 南緯,2007,4,2,10.2196,975
1468 昶和,2007,4,2,12.9,130
1469 理隆,2007,4,2,14.95,124
1470 大統新創,2007,4,2,4.121,48
1471 首利,2007,4,2,60.5702,"4,225"
1472 三洋實業,2007,4,2,64.3277,"2,930"
