公司	年	月	日	季底普通股市值	ROE(A)－稅後	營業毛利率	稅後淨利成長率	自由現金流量(D)	ROE標準差(Rolling三年)	流動比率	負債比率	利息保障倍數	現金股利率	CAPM_Beta 一年	收盤價(元)_年	近一年報酬率 %	下一年成長
1101 台泥	2007	12	31	146188665	12.37	20.08	29.13	1951618		189.76	46.39	6.36	4.22	1.2456	17.12	61.2098	-36.6889
1101 台泥	2008	12	31	88724116	6.7	9.9	-41.97	21032054		111.71	51.7	3.6	4.9	1.1439	10.87	-36.6889	30.7854
1101 台泥	2009	12	31	111933950	12.23	17.9	80.76	11473209	3.233919191	106.89	50.61	6.49	5.29	1.191	14.21	30.7854	4.0328
1101 台泥	2010	12	31	121103340	11.87	18.36	14.48	-8836132	3.09406421	136.39	52.47	7.24	6.1	1.0385	14.85	4.0328	11.3509
1101 台泥	2011	12	30	129226125	10.82	17.36	2.48	16115960	0.732598116	127.33	50.62	7.53	5.43	1.2282	16.53	11.3509	17.5869
1101 台泥	2012	12	28	143625608	7.38	15.61	-27.17	14014675	2.34862371	120.22	48.24	5.45	4.88	0.7816	19.41	17.5869	25.033
1101 台泥	2013	12	31	170763094	10.24	19.66	51.21	15642459	1.841629713	124.7	45.66	10.74	4.97	1.1088	24.28	25.033	-1.2228
1101 台泥	2014	12	31	160240395	10.51	21.02	9.69	8975377	1.734425938	140.76	44.66	12.12	5.74	0.9384	23.97	-1.2228	-32.9034
1101 台泥	2015	12	31	100796378	4.36	15.51	-58.24	17082036	3.475384871	133.06	46.95	5.62	4.87	0.9003	16.11	-32.9034	33.7756
1101 台泥	2016	12	30	129779951	5.84	20.08	27.67	12567159	3.20992731	141.34	44.79	7.01	4.13	1.2063	21.56	33.7756	11.0518
1101 台泥	2017	12	29	154785253	6.88	19.24	16.75	10515704	1.266385934	142.22	43.99	8.19	4.11	0.4935	23.3	11.0518	11.8189
1101 台泥	2018	12	28	181846900	12.94	26.96	119.36	6492976	3.834388261	171.12	42.64	13.41	9.27	0.9655	25.89	11.8189	42.2499
1101 台泥	2019	12	31	238847550	12.54	29.25	12.41	18856664	3.389178858	177.58	43.27	15.84	5.71	0.4729	36.78	42.2499	9.8274
1101 台泥	2020	12	31	251002973	13.1	32.87	9.96	25091819	0.288444102	172.4	43.82	18.8	8.2	0.8332	40.35	9.8274	
1102 亞泥	2007	12	31	129624306	14.6	16.52	40.57	8605806		161.3	40.47	9.05	5.06	1.3829	18.6	70.8833	-32.1659
1102 亞泥	2008	12	31	82470063	9.74	14.19	-25.98	-6512039		165.5	46.47	5.67	6.33	1.1002	12.61	-32.1659	31.6856
1102 亞泥	2009	12	31	103306431	10.84	16.7	19.84	4031039	2.54843743	140.57	46.21	7.83	5.2	1.039	16.63	31.6856	1.4779
1102 亞泥	2010	12	31	99178651	9.3	11.68	-6.71	7274510	0.793221281	130.62	45.98	7.2	5.89	0.9838	16.89	1.4779	13.1141
1102 亞泥	2011	12	30	106651642	12.63	16.49	46.62	-2573812	1.66656333	193.33	47.13	9.04	6.76	1.2179	19.07	13.1141	21.7586
1102 亞泥	2012	12	28	120674787	4.73	9.63	-52.3	23189181	3.966186245	119.04	38.86	4.79	4.55	0.6501	22.93	21.7586	10.2271
1102 亞泥	2013	12	31	127207690	8.18	12.89	108.21	12973966	3.960534476	105.46	41.75	9.59	4.66	0.6868	25.31	10.2271	7.4234
1102 亞泥	2014	12	31	131096433	6.93	14.33	-10.34	10492955	1.746663486	108.57	42.82	9.23	5.64	0.7215	27.2	7.4234	-25.0025
1102 亞泥	2015	12	31	92103648	3.12	10.65	-54.75	25046419	2.635722545	81.02	42.66	5.14	4.01	0.7702	20.4	-25.0025	-0.1004
1102 亞泥	2016	12	30	88574128	3.17	14.09	-5.09	-4793932	2.185413767	103.16	41.01	4.95	3.42	1.0985	20.36	-0.1004	11.2356
1102 亞泥	2017	12	29	94792805	4.65	14.59	42.33	15662311	0.869271726	93.17	40.99	5.8	4.26	0.5731	22.53	11.2356	25.8419
1102 亞泥	2018	12	28	114121126	9.77	24.71	123.38	-5705888	3.463254731	127.95	43.03	13.17	8.25	1.0241	27.85	25.8419	50.4558
1102 亞泥	2019	12	31	161181384	13.54	26.95	49.4	27257010	4.462051098	120.05	43	16.6	6.26	0.522	41.84	50.4558	-3.4558
1102 亞泥	2020	12	31	145214510	11.07	29.18	-15.6	9337891	1.915019582	135.92	42.82	21.75	8.22	0.7646	40.31	-3.4558	
1103 嘉泥	2007	12	31	14551639	6.34	20.67	-64.28	837296		319.37	37.48	5.63	0	1.1374	12.32	0.9342	-35.0571
1103 嘉泥	2008	12	31	9254333	1.34	16.98	-79.26	698215		283.11	39.44	2.93	0	1.1887	8	-35.0571	41.9615
1103 嘉泥	2009	12	31	12993574	2.13	10.83	59.29	-1540185	2.687880206	400.4	36.63	4.57	1.1	1.2081	11.36	41.9615	-1.7919
1103 嘉泥	2010	12	31	12594442	2.41	10.83	13.68	-392282	0.554887376	418.96	39.56	3.82	1.74	1.1253	11.16	-1.7919	-27.9501
1103 嘉泥	2011	12	30	8937294	1.76	19.04	-28.77	1264797	0.326036808	294.74	40.41	3.97	1.69	0.9672	8.05	-27.9501	20.6221
1103 嘉泥	2012	12	28	10759068	-3.33	6.31	-280.47	-1865963	3.143199007	427.5	43.89	-1.79	0	0.704	9.83	20.6221	13.3579
1103 嘉泥	2013	12	31	12196200	6.8	5.5	324.29	719211	5.065020566	412.74	35.58	8.81	6.37	0.5647	11.14	13.3579	-3.9232
1103 嘉泥	2014	12	31	10992116	0.26	5.57	-95.83	997759	5.13609125	382.56	42.73	1.05	2.12	0.4221	10.71	-3.9232	-30.7198
1103 嘉泥	2015	12	31	7375906	1.28	-3.81	296.6	813911	3.518579259	699.93	48.7	1.86	1.05	0.613	7.42	-30.7198	-7.2681
1103 嘉泥	2016	12	30	6763829	0.07	3.04	-95.4	1809597	0.650717553	476.59	39.48	1.41	2.29	0.4671	6.88	-7.2681	55.7135
1103 嘉泥	2017	12	29	10343313	5.57	13.47	9866.44	1888642	2.890161472	393.01	31.98	11.71	3.75	0.5443	10.72	55.7135	10.7039
1103 嘉泥	2018	12	28	10537008	1.27	13.79	-21.3	-745343	2.89194283	348.97	34.6	5.93	7.32	0.8736	11.29	10.7039	74.9411
1103 嘉泥	2019	12	31	17316333	3.67	10.54	83.15	-339927	2.154839515	288.01	38.85	8.85	4.46	0.3103	19.76	74.9411	-9.7418
1103 嘉泥	2020	12	31	14759559	7.54	-6.98	30.48	-67742	3.163589733	385.43	38.45	13.87	7.31	0.8373	17.84	-9.7418	
1104 環泥	2007	12	31	7017445	3.63	8.45	-37.9	172228		159.41	36.71	4.01	0	0.8807	6.11	3.0224	9.7208
1104 環泥	2008	12	31	7699610	0.43	5.01	-87.6	782839		106.12	40.8	1.43	0	0.7961	6.7	9.7208	37.2545
1104 環泥	2009	12	31	10568093	5.55	7.11	1202.98	-790236	2.586529206	183.27	37.57	10.11	2.86	1.0783	9.2	37.2545	9.5168
1104 環泥	2010	12	31	11171984	10.16	8.03	77.88	-392051	4.867227137	283.04	26.86	39.29	5.41	0.8662	10.08	9.5168	-24.1794
1104 環泥	2011	12	30	8031750	3.06	7.41	-67.7	2295345	3.602364964	186.61	16.84	27.64	4.51	0.7944	7.66	-24.1794	25.0665
1104 環泥	2012	12	28	9662256	5.33	6.85	76.92	705240	3.626104429	187.01	16.75	281.09	4.69	0.6915	9.66	25.0665	84.5398
1104 環泥	2013	12	31	17059921	8.06	8.91	59.71	1042178	2.503524183	154.73	18.08	169.33	3.19	0.6908	17.84	84.5398	-3.9056
1104 環泥	2014	12	31	15892000	9.13	9.35	23.72	1647346	1.959498235	128.23	18.49	145.75	3.88	0.5479	17.16	-3.9056	-7.5582
1104 環泥	2015	12	31	14136503	8.7	10.41	-0.1	923109	0.538423625	123.51	19.88	101.84	4.44	0.5847	15.88	-7.5582	15.9179
1104 環泥	2016	12	30	15642200	10.39	13.9	21.72	894733	0.878312776	141.86	19.42	107.29	4.87	0.5702	18.41	15.9179	1.3184
1104 環泥	2017	12	29	15000327	8.28	12.21	-17.46	1099765	1.116885551	141.47	19.19	81.15	4.79	0.2982	18.55	1.3184	-12.535
1104 環泥	2018	12	28	12353210	6.01	11.94	-24.32	1361118	2.190487008	118.14	21.03	52.87	5.29	0.3537	16.15	-12.535	9.1331
1104 環泥	2019	12	31	12810736	6.35	11.72	8.57	1216596	1.224295716	111.36	22.64	37.43	5.1	0.2647	17.63	9.1331	25.0925
1104 環泥	2020	12	31	15163729	6.83	16.72	10.35	1067217	0.411987055	115.71	22.06	42.32	4.74	0.6881	22.07	25.0925	
1107 建台	2007	12	31	417667		23.22	-38.1	-42023		13.44	104.04	-0.62	0	0.3747	1.33	-50.7409	-42.1053
1107 建台	2008	12	31	241807		12.8	-23.82	-142473		12.73	111.07	-0.91	0	0.532	0.77	-42.1053	20.7793
1107 建台	2009	12	31	292053		13.28	27.7	-11200		11.62	116.5	-1.19	0	0.5178	0.93	20.7793	78.4944
1107 建台	2010	12	31	521298		4.23	-8.56	-20626		9.71	122.89	-1.35	0	0.717	1.66	78.4944	-4.2169
1107 建台	2011	12	30	499316		6.61	-10.41	-133296		9.04	127.78	-1.45	0	0.3264	1.59	-4.2169	
1107 建台	2012	12	28			0.7	48.71	11240		9.08	134.5	-0.24			0.7		
1107 建台	2013	12	31			13.09	-64.26	-21963		8.55	141.1	-1.05					
1107 建台	2014	12	31		-46.48	12.87	-8.39	-3098743		7.22	86.54	0.54					
1107 建台	2015	12	31		-72.29	88.38	-13.32	-256253		6.9	93.92	1.42					
1107 建台	2016	12	30		-137.32	-12.26	27.94	200349	46.80983266	4.72	98.87	-1.03					
1108 幸福	2007	12	31	3577884	2.89	10.57	-52.05	-364368		153.71	55.96	2.54	2.83	0.9762	5.99	-10.097	-29.261
1108 幸福	2008	12	31	2428428	-0.84	9.66	-128.19	-364826		150.35	57.54	0.83	0	1.1048	4.22	-29.261	49.1675
1108 幸福	2009	12	31	3622405	2.3	14.58	373.39	184233	2.005018703	154.64	53.47	2.79	1.9	0.985	6.3	49.1675	-9.5135
1108 幸福	2010	12	31	3205525	-4.39	3.93	-288.95	-281970	3.347093266	179.26	54.51	-1.52	0	0.8899	5.7	-9.5135	-32.9547
